SourceFile,Label,Probability
161121.mp3,Acoustic guitar,0.0641
39956.mp3,Acoustic guitar,0.0615
179034.mp3,Acoustic guitar,0.0604
139402.mp3,Acoustic guitar,0.0602
231103.mp3,Acoustic guitar,0.0592
304078.mp3,Acoustic guitar,0.0541
174949.mp3,Acoustic guitar,0.0535
232436.mp3,Acoustic guitar,0.0533
71464.mp3,Acoustic guitar,0.0495
98848.mp3,Acoustic guitar,0.0485
23836.mp3,Acoustic guitar,0.0461
201458.mp3,Acoustic guitar,0.0363
118799.mp3,Acoustic guitar,0.0326
232528.mp3,Air brake,0.7733
46540.mp3,Air brake,0.6887
173016.mp3,Air brake,0.6764
89267.mp3,Air brake,0.6019
181646.mp3,Air brake,0.5928
272085.mp3,Air brake,0.5493
111733.mp3,Air brake,0.4386
183681.mp3,Air brake,0.4244
265095.mp3,Air brake,0.4239
75365.mp3,Air brake,0.3777
126434.mp3,Air brake,0.3638
38895.mp3,Air brake,0.3596
323887.mp3,Air brake,0.3548
179631.mp3,Air brake,0.3209
232701.mp3,Air brake,0.2998
144918.mp3,Air brake,0.2865
247049.mp3,Air brake,0.2704
59741.mp3,Air brake,0.2654
250426.mp3,Air brake,0.2587
296801.mp3,Air brake,0.2324
106262.mp3,Air brake,0.2275
268382.mp3,Air brake,0.226
151936.mp3,Air brake,0.2182
138629.mp3,Air brake,0.215
223662.mp3,Air brake,0.2075
140816.mp3,Air brake,0.2052
61347.mp3,Air brake,0.1948
35929.mp3,Air brake,0.19
289880.mp3,Air brake,0.1863
209218.mp3,Air brake,0.1856
88073.mp3,Air brake,0.1835
146110.mp3,Air brake,0.1834
260237.mp3,Air brake,0.1755
111465.mp3,Air brake,0.1744
17881.mp3,Air brake,0.1678
106648.mp3,Air brake,0.1646
329221.mp3,Air brake,0.1637
163931.mp3,Air brake,0.1634
280350.mp3,Air brake,0.156
63492.mp3,Air brake,0.1543
250346.mp3,Air brake,0.1503
262250.mp3,Air brake,0.1469
287782.mp3,Air brake,0.1459
178482.mp3,Air brake,0.1441
140262.mp3,Air brake,0.1415
156046.mp3,Air brake,0.1378
301774.mp3,Air brake,0.1377
274410.mp3,Air brake,0.1368
260117.mp3,Air brake,0.1349
40713.mp3,Air brake,0.131
111909.mp3,Air brake,0.1302
257083.mp3,Air brake,0.1299
236615.mp3,Air brake,0.1292
285626.mp3,Air brake,0.1268
281340.mp3,Air brake,0.125
210132.mp3,Air brake,0.1212
62925.mp3,Air brake,0.1211
136023.mp3,Air brake,0.1194
328707.mp3,Air brake,0.1189
319707.mp3,Air brake,0.1171
323876.mp3,Air brake,0.1152
287781.mp3,Air brake,0.1129
220605.mp3,Air brake,0.1126
260111.mp3,Air brake,0.1114
189428.mp3,Air brake,0.1094
100358.mp3,Air brake,0.1089
154279.mp3,Air brake,0.1084
33189.mp3,Air brake,0.108
20402.mp3,Air brake,0.1068
